stem	scene	obj	part	instruction_path	positive_path	pos_shape	pos_min	pos_max	instruction_preview	instruction_len
0b5a946368b49b87460c5b6ce1f69c2f93cb236f3f8f572a094de58634d1d9ed_1_1	0b5a946368b49b87460c5b6ce1f69c2f93cb236f3f8f572a094de58634d1d9ed	1	1	/mnt/data/grasp-anything-lgd/data/processed/grasp-anything-pp/grasp_instructions/grasp_instructions/0b5a946368b49b87460c5b6ce1f69c2f93cb236f3f8f572a094de58634d1d9ed_1_1.pkl	/mnt/data/grasp-anything-lgd/data/processed/grasp-anything-pp/grasp_label_positive/grasp_label_positive/0b5a946368b49b87460c5b6ce1f69c2f93cb236f3f8f572a094de58634d1d9ed_1_1.pt	7x6	0.053264	228.275131	Take hold of eraser on its shape.	33
a506cad7ce65697913b2b2271960bc4d8811881fc3bcba3ca64e9fb23b48ad4b_0_1	a506cad7ce65697913b2b2271960bc4d8811881fc3bcba3ca64e9fb23b48ad4b	0	1	/mnt/data/grasp-anything-lgd/data/processed/grasp-anything-pp/grasp_instructions/grasp_instructions/a506cad7ce65697913b2b2271960bc4d8811881fc3bcba3ca64e9fb23b48ad4b_0_1.pkl	/mnt/data/grasp-anything-lgd/data/processed/grasp-anything-pp/grasp_label_positive/grasp_label_positive/a506cad7ce65697913b2b2271960bc4d8811881fc3bcba3ca64e9fb23b48ad4b_0_1.pt	1x6	0.021777	292.361694	Take stapler by its metal clasp.	32
8b4af2b94cba751346f2bfa654643b88bd190648ed413bbe4aeaeb41b519bfdb_1_1	8b4af2b94cba751346f2bfa654643b88bd190648ed413bbe4aeaeb41b519bfdb	1	1	/mnt/data/grasp-anything-lgd/data/processed/grasp-anything-pp/grasp_instructions/grasp_instructions/8b4af2b94cba751346f2bfa654643b88bd190648ed413bbe4aeaeb41b519bfdb_1_1.pkl	/mnt/data/grasp-anything-lgd/data/processed/grasp-anything-pp/grasp_label_positive/grasp_label_positive/8b4af2b94cba751346f2bfa654643b88bd190648ed413bbe4aeaeb41b519bfdb_1_1.pt	17x6	0.032329	385.61377	Grip pencil on its lead.	24
e7326f8d14bde257f9aa49e89a9a6770c3bf5d9ba6da6ee1ee4de18358d3f5ac_1_2	e7326f8d14bde257f9aa49e89a9a6770c3bf5d9ba6da6ee1ee4de18358d3f5ac	1	2	/mnt/data/grasp-anything-lgd/data/processed/grasp-anything-pp/grasp_instructions/grasp_instructions/e7326f8d14bde257f9aa49e89a9a6770c3bf5d9ba6da6ee1ee4de18358d3f5ac_1_2.pkl	/mnt/data/grasp-anything-lgd/data/processed/grasp-anything-pp/grasp_label_positive/grasp_label_positive/e7326f8d14bde257f9aa49e89a9a6770c3bf5d9ba6da6ee1ee4de18358d3f5ac_1_2.pt	2x6	0.056152	166.513611	Fetch apple by its seeds.	25
57d8b0ce36f98a2a47c8f660ff39617bd4bf005193a36e4fefe0b8fcf8c62d12_1_2	57d8b0ce36f98a2a47c8f660ff39617bd4bf005193a36e4fefe0b8fcf8c62d12	1	2	/mnt/data/grasp-anything-lgd/data/processed/grasp-anything-pp/grasp_instructions/grasp_instructions/57d8b0ce36f98a2a47c8f660ff39617bd4bf005193a36e4fefe0b8fcf8c62d12_1_2.pkl	/mnt/data/grasp-anything-lgd/data/processed/grasp-anything-pp/grasp_label_positive/grasp_label_positive/57d8b0ce36f98a2a47c8f660ff39617bd4bf005193a36e4fefe0b8fcf8c62d12_1_2.pt	16x6	0.01597	225.387421	Take hold of soldier on its pose.	33
30be9fc8c4e7516b9cb89f7f32bc229741d008a476eb3df39c8f23e1a971a397_1_0	30be9fc8c4e7516b9cb89f7f32bc229741d008a476eb3df39c8f23e1a971a397	1	0	/mnt/data/grasp-anything-lgd/data/processed/grasp-anything-pp/grasp_instructions/grasp_instructions/30be9fc8c4e7516b9cb89f7f32bc229741d008a476eb3df39c8f23e1a971a397_1_0.pkl	/mnt/data/grasp-anything-lgd/data/processed/grasp-anything-pp/grasp_label_positive/grasp_label_positive/30be9fc8c4e7516b9cb89f7f32bc229741d008a476eb3df39c8f23e1a971a397_1_0.pt	4x6	0.110058	294.068756	Take paperclip by its metal or plastic.	39
562719c111d6dcdf3d45c8e34931a31edce7b958c50760483371887ed5ca00e1_0_2	562719c111d6dcdf3d45c8e34931a31edce7b958c50760483371887ed5ca00e1	0	2	/mnt/data/grasp-anything-lgd/data/processed/grasp-anything-pp/grasp_instructions/grasp_instructions/562719c111d6dcdf3d45c8e34931a31edce7b958c50760483371887ed5ca00e1_0_2.pkl	/mnt/data/grasp-anything-lgd/data/processed/grasp-anything-pp/grasp_label_positive/grasp_label_positive/562719c111d6dcdf3d45c8e34931a31edce7b958c50760483371887ed5ca00e1_0_2.pt	2x6	0.012932	326.566528	Lift stapler by its base.	25
bad6ad0cd6a742879d1623cde770f4250b44527dd2003cd9570bc2ee7f806de4_0_1	bad6ad0cd6a742879d1623cde770f4250b44527dd2003cd9570bc2ee7f806de4	0	1	/mnt/data/grasp-anything-lgd/data/processed/grasp-anything-pp/grasp_instructions/grasp_instructions/bad6ad0cd6a742879d1623cde770f4250b44527dd2003cd9570bc2ee7f806de4_0_1.pkl	/mnt/data/grasp-anything-lgd/data/processed/grasp-anything-pp/grasp_label_positive/grasp_label_positive/bad6ad0cd6a742879d1623cde770f4250b44527dd2003cd9570bc2ee7f806de4_0_1.pt	5x6	0.067473	354.984894	Take hold of pen on its ink or lead.	36
9d00d35d63a834a6d266ca00b61972a07ce526a1132a1994bd9b9d63ea0eed2d_0_2	9d00d35d63a834a6d266ca00b61972a07ce526a1132a1994bd9b9d63ea0eed2d	0	2	/mnt/data/grasp-anything-lgd/data/processed/grasp-anything-pp/grasp_instructions/grasp_instructions/9d00d35d63a834a6d266ca00b61972a07ce526a1132a1994bd9b9d63ea0eed2d_0_2.pkl	/mnt/data/grasp-anything-lgd/data/processed/grasp-anything-pp/grasp_label_positive/grasp_label_positive/9d00d35d63a834a6d266ca00b61972a07ce526a1132a1994bd9b9d63ea0eed2d_0_2.pt	11x6	0.055413	361.562225	Fetch key by its ring.	22
1740d9dfd076bd3ecf6a0e66dc9537f0246d7eb46de468cd33070e17da9abe30_0_2	1740d9dfd076bd3ecf6a0e66dc9537f0246d7eb46de468cd33070e17da9abe30	0	2	/mnt/data/grasp-anything-lgd/data/processed/grasp-anything-pp/grasp_instructions/grasp_instructions/1740d9dfd076bd3ecf6a0e66dc9537f0246d7eb46de468cd33070e17da9abe30_0_2.pkl	/mnt/data/grasp-anything-lgd/data/processed/grasp-anything-pp/grasp_label_positive/grasp_label_positive/1740d9dfd076bd3ecf6a0e66dc9537f0246d7eb46de468cd33070e17da9abe30_0_2.pt	13x6	0.028709	326.183289	Take pen by its cap.	20
